Chemin des Baillères, 1400 L'Abergement-Clémenciat
La Maillerie, 16320 Blanzaguet-Saint-Cybard
Chemin de Croix Menier, 16480 Boisbreteau
Croix Sablière, 16120 Bonneuil
Lieu Dit la Chabanne, 16120 Bonneuil
La Bergerie, 16190 Bors (Canton de Tude-et-Lavalette)
Le Devin, 16350 Le Bouchage
Impasse du Maine, 16410 Bouëx
Rond Point des Epinettes, 16200 Bourg-Charente
Chateau Barraud, 16120 Bouteville
La Borderie Basse, 16100 Boutiers-Saint-Trojan
Place de l’Horloge, 16370 Bréville
Rue du Lac Français, 16590 Brie
Les Rassats, 16590 Brie
Chez les Pieux, 16420 Brigueuil
Pressaleix du Bost, 16420 Brigueuil
Lieu Dit la Paulette, 16500 Brillac
Chez Chaput, 16480 Brossac
Route du Maine, 16230 Cellettes
Les Cailloux, 16150 Chabrac
Chez Broussard, 16250 Chadurie
Chez Chiron, 16250 Chadurie
Chez Chemin, 16210 Chalais
Chez Blanloeuil, 16250 Champagne-Vigny
La Grange la Verriere, 16350 Champagne-Mouton
Rue du Capitaine Milon, 16290 Champmillon
Rue de la Poulie, 16430 Champniers
Rue de l'Anis Étoilé, 16430 Champniers
route de la pierriere, 16360 Chantillac
Impasse de Chez Bic, 16320 Boisné-La Tude
Le Clos du Mas, 16140 Charmé
Chemin de la Folie, 16260 Chasseneuil-sur-Bonnieure
Chemin des Romains, 16150 Chassenon
Route de la Scierie, 16350 Chassiecq
Route de Chassors, 16200 Chassors
Rue Samuel de Champlain, 16100 Châteaubernard
Impasse des Deux Messieurs, 16120 Châteauneuf-sur-Charente
Impasse de la Margelle, 16120 Châteauneuf-sur-Charente
Impasse des Sources de l'Auzance, 16480 Châtignac
Impasse Robin des Bois, 16380 Chazelles
Rue du Petit Clos, 16310 Cherves-Châtelars
Chemin du Pont de Fer, 16370 Cherves-Richemont
Impasse des Buis, 16480 Chillac
Les Pierres, 16150 Chirac
Impasse des Rentes, 16440 Claix
Rue Pierre Martin Civat, 16100 Cognac
Impasse des Croisées, 16700 Condac
Chemin du Nougeat, 16360 Condéon
La Guicherie, 16500 Confolens
Square Rene Beaulieu, 16500 Confolens
Impasse des Combes, 16330 Coulonges
Impasse Reneteaud, 16200 Courbillac
Impasse de la Résistance, 16240 Courcôme
Chemin du Grand Diné, 16190 Courgeac
route de la Joumerie, 16210 Courlac
Moulin de Bourisson, 16400 La Couronne
Rue de Chez Michelet, 16300 Criteuil-la-Magdeleine
impasse de la rente chère, 16300 Criteuil-la-Magdeleine
Impasse des Métairies, 16410 Dignac
Du Place Magnolia, 16410 Dirac
Impasse des Sports, 16410 Dirac
la Garenne, 16170 Échallat
Route d'Angouleme, 16320 Édon
Amboisnoir, 16490 Épenède
Place des Charmilles, 16500 Esse
Route de Villevert, 16500 Esse
Chantegrolle, 16150 Exideuil-sur-Vienne
Chemin du Coteau, 16380 Feuillade
Lieu Dit la Grande Foret, 16380 Feuillade
Route de la Manotte, 16230 Fontenille
Bois Ricard, 16240 La Forêt-de-Tessé
Impasse de Saute en Sus, 16410 Fouquebrune
Rue du Petit Lantin, 16200 Foussignac
chêment, 16410 Garat
Chemin du Marais, 16170 Genac-Bignac
Les Gascards, 16130 Gensac-la-Pallue
Impasse de Nonac, 16130 Genté
Boulevard du Grand Plantier, 16160 Gond-Pontouvre
Impasse des Fontenelles, 16160 Gond-Pontouvre
La Villa des Oiseaux, 16450 Le Grand-Madieu
impasse de la houlette, 16300 Guimps
Bigogne, 16320 Gurat
La Petite Garde, 16490 Hiesse
Allée du Parc, 16340 L'Isle-d'Espagnac
Les Grands Champs, 16200 Jarnac
La Metairie, 16100 Javrezac
chemin de la plante, 16130 Juillac-le-Coq
Sur les Pres, 16130 Juillac-le-Coq
La Gibauderie, 16200 Julienne
Maison Neuve Aubeville, 16250 Val des Vignes
Le Maine Pereuil, 16250 Val des Vignes
Les Viaudries, 16250 Val des Vignes
Chemin des Berthonneries, 16300 Lagarde-sur-le-Né
Lieudit le Cluzeau, 16500 Lessac
La Sauterie, 16420 Lesterps
Impasse de Foucherie Neuve, 16310 Lésignac-Durand
Mardi Gras, 16130 Lignières-Sonneville
Plantier de la Riviere, 16730 Linars
Rue de l'Ancienne Forge, 16700 Londigny
Chemin de la Pierre Levée, 16240 Longré
Chemin des Vias, 16270 Terres-de-Haute-Charente
Les Barbettes, 16270 Terres-de-Haute-Charente
Le Pezerieux, 16270 Terres-de-Haute-Charente
Chemin de la Fontaine, 16270 Terres-de-Haute-Charente
Rue du Quéreux, 16140 Lupsault
Chemin du Gros Chene, 16230 Luxé
Rue du Cimetière, 16600 Magnac-sur-Touvre
Chemin du Moulin, 16230 Maine-de-Boixe
ruelle de la grange, 16120 Bellevigne
Le Bourg Touzac, 16120 Bellevigne
Les Philipeaux, 16120 Bellevigne
Champ de la Rigole et Bois Claveau, 16120 Bellevigne
Le Point du Jour, 16500 Manot
Les Petites Chènevières, 16230 Mansle
Les Groies, 16140 Marcillac-Lanville
Route de St Sornin sous l'Heriba, 16110 Marillac-le-Franc
Impasse du Moulin, 16570 Marsac
Le Bost du Vent, 16310 Massignac
Rue du Bois Noir, 16200 Mérignac
Rue du Moulin, 16100 Merpins
Chemin du Bois Morin, 16140 Mons
L’Amitie, 16620 Montboyer
La Font des Choux, 16620 Montboyer
la Patifone, 16620 Montboyer
Chemin des Bois, 16220 Montbron
Rue de la Laurière, 16220 Montbron
Allée de Benage, 16300 Montmérac
Chemin de Marveau, 16300 Montmérac
Chemin de l’Etang Rompu, 16310 Montembœuf
Rue de l’Alambic, 16240 Montjean
Chemin de la Vallee, 16190 Montmoreau
Les Gagneries, 16190 Montmoreau
Le Bourg St Eutrope, 16190 Montmoreau
chemin du maine viaud, 16190 Montmoreau
Lieu Dit le Bois, 16190 Montmoreau
Impasse du Moulin de la Forge, 16190 Montmoreau
Rue du Cerisier, 16600 Mornac
Le Ranclaud, 16600 Mornac
impasse de bellevue, 16120 Mosnac-Saint-Simeux
Route de Hiersac, 16290 Moulidars
Les Brandilles, 16440 Mouthiers-sur-Boëme
le Petit Verger, 16440 Mouthiers-sur-Boëme
Chez Chapelier, 16310 Mouzon
chemin chez clauduraud, 16700 Nanteuil-en-Vallée
Les Grands Champs, 16700 Nanteuil-en-Vallée
Boisaugeais, 16700 Nanteuil-en-Vallée
Les Egauds, 16200 Nercillac
Chemin des Ecoliers, 16270 Nieuil
Rue Camille Vergnaud, 16270 Nieuil
Moulin de Bellac, 16190 Nonac
Rue du Perret, 16140 Oradour
Le Petit Marcillac, 16500 Oradour-Fanais
Chemin du Four, 16480 Oriolles
Impasse des Guins, 16240 Paizay-Naudouin-Embourie
Chemin des Brechets, 16390 Palluaud
Chemin de Boucherie, 16480 Passirac
Route du Chaverrut, 16250 Pérignac
Rue Puyborneau, 16250 Pérignac
Chemin des Marquis, 16260 Les Pins
Chemin Jacquiot, 16250 Plassac-Rouffiac
Impasse de la Gabrielle, 16190 Poullignac
la Touche, 16700 Poursac
La Bourgogne, 16150 Pressignac
Rue du Cimetière, 16400 Puymoyen
Route du 7ème Camp Romain, 16140 Ranville-Breuillaud
Chemin de la Broue, 16210 Rioux-Martin
Lieu-dit Les Landes de chez Vicard, 16110 Rivières
Olérat, 16110 La Rochefoucauld-en-Angoumois
Impasse du Bourg Pallier, 16110 La Rochefoucauld-en-Angoumois
Impasse des Pîtres, 16110 La Rochette
Chemin du Maine, 16210 Rouffiac
Impasse Residence Andre Malraux, 16170 Rouillac
Rue Saint-Vincent, 16170 Rouillac
Allée du Logis de Montaigon, 16170 Rouillac
Rue des Figuiers, 16170 Rouillac
Rue du Pont Charlot, 16440 Roullet-Saint-Estèphe
Les Chaumes, 16440 Roullet-Saint-Estèphe
Les Renardieres, 16310 Roussines
Lieu Dit les Paleignes, 16220 Rouzède
Avenue Armand Blanc, 16700 Ruffec
les Grands Rocs, 16700 Ruffec
Route de la Vacherie, 16310 Saint-Adjutory
Impasse des Jeunes Plantes, 16330 Saint-Amant-de-Boixe
Chemin du Curieux, 16170 Saint-Amant-de-Nouère
La Barraude, 16230 Val-de-Bonnieure
Rue de Bellevue, 16210 Saint-Avit
Impasse de la Royauté, 16300 Saint-Bonnet
Chateauplat, 16420 Saint-Christophe
Les Seigelards, 16230 Saint-Ciers-sur-Bonnieure
Le Fayard, 16450 Saint-Claud
La Fossade, 16350 Saint-Coutant
Plaisance, 16170 Saint-Cybardeaux
Impasse des Fillons, 16140 Saint-Fraigne
Place de la Mairie, 16460 Saint-Front
Place des Chenes, 16570 Saint-Genis-d'Hiersac
Rue des Baillargeaux, 16380 Saint-Germain-de-Montbron
Impasse des Tilleuls, 16700 Saint-Gourson
Chez Ravard, 16450 Saint-Laurent-de-Céris
Rue de Kerbach, 16100 Saint-Laurent-de-Cognac
Chez Miquelot, 16190 Saint-Martial
Les Serpauderies, 16700 Saint-Martin-du-Clocher
Rue des Anciennes Écoles, 16500 Saint-Maurice-des-Lions
Route de la Garenne, 16500 Saint-Maurice-des-Lions
Chemin de la Courade, 16170 Val-d'Auge
Chemin de la Vallee, 16170 Val-d'Auge
Le Grand Mas des Sables, 16720 Saint-Même-les-Carrières
Chemin des Rivaux, 16300 Saint-Palais-du-Né
route le fourgeraud, 16210 Saint-Quentin-de-Chalais
Impasse de la Vigerie, 16210 Saint-Romain
Chemin des Rentes, 16200 Sainte-Sévère
Maisonneuve, 16390 Saint-Séverin
Rue du Petit Port, 16120 Saint-Simon
Chemin des Peupliers, 16370 Saint-Sulpice-de-Cognac
Plante Roche, 16370 Saint-Sulpice-de-Cognac
Chemin de la Maison Neuve, 16480 Saint-Vallier
Rue de l'Ancienne Piste, 16130 Salles-d'Angles
Terres et Bois des Chauvin, 16300 Salles-de-Barbezieux
Route des Argiles, 16190 Salles-Lavalette
Le Moulin du Masjoubert, 16420 Saulgond
Le Recoudet, 16310 Sauvagnac
Rue de Chez Guimbelot, 16130 Segonzac
Chez Mathé, 16130 Segonzac
Chemin de Nanteuil, 16410 Sers
Lieu Dit les Grandes Rivieres, 16380 Souffrignac
Chemin des Brandes, 16800 Soyaux
Les Averrages, 16700 Taizé-Aizie
Route les Landes de Glory, 16110 Taponnat-Fleurignac
Bel Air, 16110 Taponnat-Fleurignac
La Sambatte, 16110 Taponnat-Fleurignac
Rue de l’Ecole, 16360 Le Tâtre
Impasse des Brissettes, 16410 Torsac
Rue des Chênes, 16560 Tourriers
Chemin des Palombes, 16600 Touvre
Rue Cognac Lautrait, 16200 Triac-Lautrait
Route de la Fosse Seche, 16350 Turgon
Lieu Dit Bourgon, 16460 Valence
Chez Charrier, 16330 Vars
Chemin des Ouches, 16320 Vaux-Lavalette
Terre Fort, 16170 Vaux-Rouillac
Guignefolle, 16140 Verdille
Place de la Mairie, 16130 Verrières
la Champagne de Pouzou, 16130 Verrières
Esplanade des Tureaux, 16510 Verteuil-sur-Charente
Peuplat, 16350 Le Vieux-Cérier
Rue de la Robinière, 16220 Moulins-sur-Tardoire
Route de Logerie, 16320 Villebois-Lavalette
Place de l'Église, 16240 Villiers-le-Roux
Impasse des Palombes, 16430 Vindelle
Les Champs, 16310 Vitrac-Saint-Vincent
La Meuliere, 16250 Voulgézac
Chemin du Penaud, 16410 Vouzan
Rue du Château, 16110 Yvrac-et-Malleyrand
chemin de chez couit, 17500 Agudelle
Route du Moulin de la Champagne, 17150 Allas-Bocage
ZAC de Bel Air, 17230 Andilly
Champ Guerin, 17350 Annepont
Chemin du Terrier, 17120 Arces
Rue de la Bonne Chauffe, 17520 Archiac
Bois Rond, 17380 Archingeay
La Petite Grange, 17590 Ars-en-Ré
Lieu Dit Perojean, 17520 Arthenac
Impasse Bujour, 17400 Asnières-la-Giraud
Champ Metairie, 17400 Asnières-la-Giraud
Rue du Vieux Puits, 17770 Aujac
Rue des Cabanes, 17770 Aumagne
Rue de l’Ombraille, 17770 Aumagne
Rue des Lucioles, 17770 Authon-Ébéon
les Grands Champs, 17800 Avy
Beauchamp, 17440 Aytré
Rue de Breville, 17160 Ballans
Guillot, 17360 La Barde
Rue du Cimetiere, 17120 Barzan
Impasse de la Salle des Fêtes, 17490 Beauvais-sur-Matha
Route des Sablons, 17800 Belluire
Rue du Cormier, 17770 Bercloux
Passage des Sablieres, 17330 Bernay-Saint-Martin
Rue des Cailles, 17460 Berneuil
Lieu Dit la Motte, 17460 Berneuil
Impasse Martres, 17800 Biron
Route de Malvillars, 17240 Bois
Le Luth, 17240 Bois
Rue Trite, 17580 Le Bois-Plage-en-Ré
Chez Tauge, 17150 Boisredon
Impasse des Nigelles, 17430 Bords
les Sables, 17270 Boresse-et-Martron
Rue des Abeilles, 17800 Bougneau
Chemin des Grues, 17540 Bouhet
la Grognasse, 17560 Bourcefranc-le-Chapus
le Moulin de la Lande, 17120 Boutenac-Touvent
Chemin des Chirons, 17490 Bresdon
Rue de Picaille, 17490 Bresdon
Impasse des Mimosas, 17920 Breuillet
Chemin des Fougeres, 17520 Brie-sous-Archiac
Place Romaine, 17160 Brie-sous-Matha
Impasse des Lys, 17770 Brizambourg
Rue du Four, 17160 La Brousse
Pl Saint Leger, 17770 Burie
le Moulin de Gourdet, 17210 Bussac-Forêt
Lieu dit le Rocher, 17430 Cabariot
Impasse du Lavoir, 17520 Celles
Chemin de la Brandelle, 17270 Cercoux
Chabot, 17270 Cercoux
Lieu dit le Remoinard, 17270 Cercoux
Chemin des Grillons, 17800 Chadenac
Rue des Abreuvoirs, 17290 Chambon
Terrier de la Marronnière, 17130 Chamouillac
Rue de l'Abadaire, 17620 Champagne
Chez Jourdain, 17240 Champagnolles
le Pas Fanioux, 17430 Champdolent
Chemin des Écoliers, 17610 Chaniers
Chez Fazilleau, 17610 Chaniers
Chemin des Ouilleres, 17100 La Chapelle-des-Pots
Impasse du Centre à Fief Naton, 17480 Le Château-d'Oléron
La Pointe Blanche, 17480 Le Château-d'Oléron
Rue des Goëlands, 17340 Châtelaillon-Plage
les Ramards, 17210 Chatenet
Chemin des Réganes, 17210 Chatenet
La Grande Gorce, 17600 Le Chay
Route de Bussac au Terrier, 17210 Chepniers
Voie Communale 16 les Navetteries, 17210 Chepniers
Voie Communale 11 Pas de la Perche, 17210 Chepniers
Vc17 Chez Perrias, 17210 Chepniers
rue traversière, 17610 Chérac
la Richonnerie, 17610 Chérac
Rue de la Métairie, 17460 Chermignac
la Maison Neuve, 17210 Chevanceaux
le Feynard, 17210 Chevanceaux
Impasse du Rossignol, 17510 Chives
Les Massardes, 17220 Clavette
le Moulin de la Vallade, 17270 Clérac
Impasse de Clermont, 17240 Clion
le Mars, 17240 Clion
Chemin de l'Entrée, 17460 Colombiers
Impasse du Cimetiere, 17470 Contré
Fief des Brandes, 17600 Corme-Écluse
Impasse de Chez Maussé, 17600 Corme-Royal
la Tublerie, 17600 Corme-Royal
La Montée des Prises, 17670 La Couarde-sur-Mer
Voie Communale Domaine des Glasxiemes, 17170 Courçon
Impasse Lafitte, 17130 Courpignac
La Tuilerie, 17130 Courpignac
Rue de la Christine, 17120 Cozes
Impasse du Pote, 17170 Cramchaban
Châtenet, 17260 Cravans
Route de la Brassière, 17470 Dampierre-sur-Boutonne
Chemin Bas, 17330 Dœuil-sur-le-Mignon
Les Botelières Sud, 17550 Dolus-d'Oléron
Impasse des Rouges Gorges, 17550 Dolus-d'Oléron
Chichillon, 17139 Dompierre-sur-Mer
Le Champ de la Porte, 17100 Le Douhet
la Pierrière, 17620 Échillais
Rue George Sand, 17770 Écoyeux
Chemin du Clos, 17810 Écurat
Rue du Bois Chapiot, 17400 Les Églises-d'Argenteuil
Les Anjards, 17120 Épargnes
Route de Soulignonne, 17250 Les Essards
Rue de Chez Braud, 17350 Fenioux
Chez Robin, 17800 Fléac-sur-Seugne
Place Pierre Valleau, 17630 La Flotte
Rue le Pas Laron, 17630 La Flotte
La Cafourche, 17500 Fontaines-d'Ozillac
le Bas Favreau, 17500 Fontaines-d'Ozillac
Cheminement des Rivières, 17290 Forges
Rue du Marais, 17450 Fouras
Montauban, 17250 Geay
Route de Villars, 17260 Gémozac
la Touche, 17360 La Genétouze
impasse des charmilles, 17430 Genouillé
Impasse des Chenes, 17520 Germignac
Rue de l'If, 17160 Gibourne
Impasse des Chênes Verts, 17350 Grandjean
le Champ Muré, 17170 La Grève-sur-Mignon
Place du Logis, 17600 Le Gua
Marais de Rioux, 17540 Le Gué-d'Alleré
Rue de la Forge, 17160 Haimps
Impasse de la Forge, 17460 La Jard
Le Millard, 17520 Jarnac-Champagne
Impasse de Chez Tarin, 17260 Jazennes
Rue du Moulin à Vent, 17500 Jonzac
Fief des Brandes, 17500 Jonzac
Boulevard Adrien Barthélémy, 17500 Jonzac
Croix Jante, 17130 Jussas
Chemin des Godettes, 17140 Lagord
Le Champ du Frene, 17380 Landes
Impasse de la Grande Métairie, 17500 Léoville
Fief de la Cure, 17230 Longèves
Moulin de la Colle, 17240 Lorignac
Impasse de l'Église Saint-Michel, 17500 Lussac
Rue de Ballans, 17490 Macqueville
Route de Saint-Jean de Liversay, 17230 Marans
Zone Artisanale Fief de Feusse, 17320 Marennes-Hiers-Brouage
Place des Marronniers, 17700 Marsais
Chemin de la Garenne, 17490 Massac
Rue Thierry ROUSSEAU, 17160 Matha
Avenue de la Pinède, 17570 Les Mathes
Impasse des Lilas, 17400 Mazeray
Impasse du Clos Fleuri, 17600 Médis
La Rente, 17600 Médis
Allée des Violettes, 17210 Mérignac
Allee des Chagnasses, 17132 Meschers-sur-Gironde
La Fontaine, 17130 Messac
Route de la Mailletrie, 17120 Meursac
le Champ des Vignes, 17120 Meursac
Chemin de la Cabourne, 17770 Migron
La Petite Rue, 17150 Mirambeau
Fosselebeaud, 17150 Mirambeau
Lieu Dit Courpe, 17150 Mirambeau
Lieu Dit Fanioux, 17150 Mirambeau
Allée du Vignoble, 17160 Mons
Au Pont, 17130 Montendre
Lieu dit Bessac, 17130 Montendre
la Bourdolle, 17270 Montguyon
Lieu dit Beauséjour, 17270 Montguyon
Ferme des Merignates, 17800 Montils
Frappe, 17210 Montlieu-la-Garde
Route de Polignac, 17210 Montlieu-la-Garde
Route du Bois de Phelix, 17210 Montlieu-la-Garde
Orennes, 17260 Montpellier-de-Médillan
Impasse Rambert, 17120 Mortagne-sur-Gironde
Chemin des Vignes, 17500 Mortiers
La Petite Cotrie, 17240 Mosnac
Impasse des Lys, 17380 Nachamps
Impasse du Grand Fief, 17770 Nantillé
Rue du Terrier, 17510 Néré
Bertauville, 17500 Neulles
Chez Bernon, 17270 Neuvicq
Lieu Dit Guerin, 17270 Neuvicq
Rue de la Robinetterie, 17490 Neuvicq-le-Château
Chemin de Touzinard, 17150 Nieul-le-Virouil
Venelle de la Job, 17137 Nieul-sur-Mer
Chemin du Bourg, 17380 Les Nouillers
Moulin du Chail, 17380 Les Nouillers
Impasse des Luneaux, 17470 Nuaillé-sur-Boutonne
la Palud, 17210 Orignolles
Chez Loret, 17500 Ozillac
Lieu Dit Virban, 17470 Paillé
Combe Loubat, 17800 Pérignac
Impasse de la Cigogne, 17400 Essouvert
Saint-Martin d’Auge, 17400 Essouvert
Grands Champs, 17240 Plassac
Rue des Thibaudières, 17250 Plassay
Moulin Blanc, 17210 Polignac
le Terrier, 17130 Pommiers-Moulons
Champs de la Fauche, 17800 Pons
Les Salants, 17800 Pons
Moulin du Rocher, 17250 Pont-l'Abbé-d'Arnoult
Venelle du Coiffeur, 17880 Les Portes-en-Ré
le Petit Rouillard, 17210 Pouillac
Le Clone Flanquet, 17460 Préguillac
Cour de Touraine, 17138 Puilboreau
La Bachellerie, 17700 Puyravault
Chemin des Noisetiers, 17500 Réaux sur Trèfle
Chez Criteau, 17500 Réaux sur Trèfle
Rue du Chêne Vert, 17460 Rétaud
Rue des Peupliers, 17940 Rivedoux-Plage
Route de Cravans, 17460 Rioux
Rue Grimaux, 17300 Rochefort
Petite Grange, 17300 Rochefort
Rue d'Artimon, 17000 La Rochelle
Rue Jean-Baptiste Perronneau, 17000 La Rochelle
Square Rasteau, 17000 La Rochelle
Rue de l’Ancien Port, 17250 Romegoux
Impasse du Four, 17800 Rouffiac
Chez Dumaine, 17130 Rouffignac
Lieu dit Marcouze, 17130 Rouffignac
Rue des Grenadiers, 17200 Royan
Impasse des Jardins, 17600 Sablonceaux
Chemin du Passage des Vaches, 17620 Saint-Agnant
Base Aérienne, 17620 Saint-Agnant
Lieu Dit Gresille, 17360 Saint-Aigulin
Route de la Croix de Longchamp, 17260 Saint-André-de-Lidon
Beauregard, 17260 Saint-André-de-Lidon
Beaudry, 17150 Saint-Bonnet-sur-Gironde
Chez le Geay, 17150 Saint-Bonnet-sur-Gironde
La Pressade Nord, 17150 Saint-Bonnet-sur-Gironde
Rue des Orchidées, 17150 Saint-Bonnet-sur-Gironde
Place de l'Eglise, 17770 Saint-Bris-des-Bois
Chez Priolleau, 17770 Saint-Bris-des-Bois
Champs de la Fosse, 17770 Saint-Césaire
Rue Opération Frankton, 17520 Saint-Ciers-Champagne
Place du 19 Mars, 17240 Saint-Ciers-du-Taillon
La Jasserie, 17240 Saint-Ciers-du-Taillon
Venelle de la Mardelle, 17590 Saint-Clément-des-Baleines
le Moulin du Chay, 17210 Sainte-Colombe
Impasse des Mesanges, 17430 Saint-Coutant-le-Grand
La Goulardiere, 17170 Saint-Cyr-du-Doret
Les Proires, 17650 Saint-Denis-d'Oléron
Gat de Fer, 17240 Saint-Dizant-du-Gua
Chemin du Moulin de Romefort, 17240 Saint-Fort-sur-Gironde
les Moulins de Poupot, 17240 Saint-Fort-sur-Gironde
Impasse des Agrieres, 17240 Saint-Genis-de-Saintonge
le Breuil, 17240 Saint-Georges-Antignac
Allée des Girolles, 17110 Saint-Georges-de-Didonne
Chez Meriguet, 17150 Saint-Georges-des-Agoûts
Lotissement le Clos des Maurices, 17810 Saint-Georges-des-Coteaux
Voie Communale Canton du Forgeron, 17190 Saint-Georges-d'Oléron
La Conche aux Lièvres Est, 17190 Saint-Georges-d'Oléron
Le Puits Doux, 17190 Saint-Georges-d'Oléron
Impasse des Eglades, 17190 Saint-Georges-d'Oléron
Les Carrieres, 17500 Saint-Germain-de-Lusignan
Impasse du Moulin, 17700 Saint-Pierre-La-Noue
Sougeroles, 17500 Saint-Germain-de-Vibrac
La Metairie, 17240 Saint-Germain-du-Seudre
Impasse du Four, 17770 Saint-Hilaire-de-Villefranche
Le Millaud, 17770 Saint-Hilaire-de-Villefranche
Rue du Chateau, 17770 Saint-Hilaire-de-Villefranche
Portail Rouge, 17430 Saint-Hippolyte
Plaine des Arrondeaux, 17400 Saint-Jean-d'Angély
le Calvaire, 17170 Saint-Jean-de-Liversay
l'Ancienne Gare, 17170 Saint-Jean-de-Liversay
Prise du Pont de la Berger, 17320 Saint-Just-Luzac
Croix des Bots, 17450 Saint-Laurent-de-la-Prée
Le Peux, 17800 Saint-Léger
Rue du Grand Ormeau, 17380 Saint-Loup
La Cocucherie, 17520 Saint-Maigrin
Impasse des Ouches, 17470 Saint-Mandé-sur-Brédoire
Impasse de la Ferlandière, 17740 Sainte-Marie-de-Ré
Port Notre Dame, 17740 Sainte-Marie-de-Ré
La Champagne des Merles, 17150 Saint-Martial-de-Mirambeau
Impasse du Paradis, 17520 Saint-Martial-sur-Né
Chemin des Plantes, 17360 Saint-Martin-de-Coux
Allée de la Guyane, 17410 Saint-Martin-de-Ré
Les Touches, 17220 Saint-Médard-d'Aunis
Impasse du Cougnaud, 17230 Saint-Ouen-d'Aunis
Beauregard, 17210 Saint-Palais-de-Négrignac
Les Sables, 17210 Saint-Palais-de-Négrignac
Allée du Maine, 17800 Saint-Palais-de-Phiolin
Rue de l'Abreuvoir, 17400 Saint-Pierre-de-Juillers
Rue de l’Ancienne Criée, 17310 Saint-Pierre-d'Oléron
Venelle de la Fourche, 17310 Saint-Pierre-d'Oléron
Zone Artisanale les Perrotins, 17310 Saint-Pierre-d'Oléron
Rue des Grandes Rentes, 17250 Saint-Porchaire
Chez Lauranceau, 17800 Saint-Quantin-de-Rançanne
La Rente, 17240 Sainte-Ramée
la Croix Bourdin, 17600 Saint-Romain-de-Benet
Chemin de l'Espérance, 17610 Saint-Sauvant
La Croix, 17540 Saint-Sauveur-d'Aunis
Route de la Métairie du Bramerit, 17350 Saint-Savinien
Le Bois Vachon, 17350 Saint-Savinien
Résidence le Puyvineux, 17350 Saint-Savinien
les Quatre Routes, 17800 Saint-Sever-de-Saintonge
Ferme du Chateau, 17500 Saint-Simon-de-Bordes
La Petite Mauvinière, 17600 Saint-Sornin
Rue des Passeroses, 17220 Sainte-Soulle
